Day fraction since midnight on 8/12/2019	UVA ()	Turb_settled ()	Turb_filter ()	UVT ()	Total Count settled ()	Bin 1 count settled ()	Bin 2 count settled ()	Bin 3 count settled ()	Bin 4 count settled ()	Bin 5 count settled ()	Bin 6 count settled ()	Total count filtered ()	Bin 1 count filtered  ()	Bin 2 count filtered ()	Bin 3 count filtered ()	Bin 4 count filtered ()	Bin 5 count filtered  ()	Bin 6 count filtered ()
Start																		
0.40628506	0.08416016	0.60559487	0.18940252	82.41239929	89	50	32	7	1	0	0	0.08416016	0	0	0	0	0	0
0.40634292	0.08416016	0.60559487	0.18940252	82.41239929	89	50	32	7	1	0	0	0.08416016	0	0	0	0	0	0
0.40640079	0.08365688	0.62129849	0.18786827	82.5079422	90	51	32	6	0	0	0	0.08365688	0	0	0	0	0	0
0.40645867	0.08365688	0.62129849	0.18786827	82.5079422	90	51	32	6	0	0	0	0.08365688	0	0	0	0	0	0
0.40651654	0.08365688	0.62129849	0.18786827	82.5079422	90	51	32	6	0	0	0	0.08365688	0	0	0	0	0	0
0.40657443	0.08365688	0.62129849	0.18786827	82.5079422	90	51	32	6	0	0	0	0.08365688	0	0	0	0	0	0
0.40663231	0.08365688	0.62129849	0.18786827	82.5079422	90	51	32	6	0	0	0	0.08365688	0	0	0	0	0	0
0.40669017	0.08365688	0.62129849	0.18786827	82.5079422	90	51	32	6	0	0	0	0.08365688	0	0	0	0	0	0
0.40674805	0.08365688	0.62129849	0.18786827	82.5079422	90	51	32	6	0	0	0	0.08365688	0	0	0	0	0	0
0.40680591	0.08365688	0.62129849	0.18786827	82.5079422	90	51	32	6	0	0	0	0.08365688	0	0	0	0	0	0
0.40686379	0.08365688	0.62129849	0.18786827	82.5079422	90	51	32	6	0	0	0	0.08365688	0	0	0	0	0	0
0.40692167	0.08365688	0.62129849	0.18786827	82.5079422	90	51	32	6	0	0	0	0.08365688	0	0	0	0	0	0
0.40697954	0.08365688	0.62129849	0.18786827	82.5079422	90	51	32	6	0	0	0	0.08365688	0	0	0	0	0	0
0.40703743	0.08365688	0.62129849	0.18786827	82.5079422	90	51	32	6	0	0	0	0.08365688	0	0	0	0	0	0
0.40709531	0.08353553	0.62447709	0.18773615	82.53099823	93	51	34	8	1	0	0	0.08353553	0	0	0	0	0	0
0.40715317	0.08353553	0.62447709	0.18773615	82.53099823	93	51	34	8	1	0	0	0.08353553	0	0	0	0	0	0
0.40721105	0.08353553	0.62447709	0.18773615	82.53099823	93	51	34	8	1	0	0	0.08353553	0	0	0	0	0	0
0.40726893	0.08353553	0.62447709	0.18773615	82.53099823	93	51	34	8	1	0	0	0.08353553	0	0	0	0	0	0
0.4073268	0.08353553	0.62447709	0.18773615	82.53099823	93	51	34	8	1	0	0	0.08353553	0	0	0	0	0	0
0.40738468	0.08353553	0.62447709	0.18773615	82.53099823	93	51	34	8	1	0	0	0.08353553	0	0	0	0	0	0
0.40744254	0.08353553	0.62447709	0.18773615	82.53099823	93	51	34	8	1	0	0	0.08353553	0	0	0	0	0	0
0.40750042	0.08353553	0.62447709	0.18773615	82.53099823	93	51	34	8	1	0	0	0.08353553	0	0	0	0	0	0
0.4075583	0.08353553	0.62447709	0.18773615	82.53099823	93	51	34	8	1	0	0	0.08353553	0	0	0	0	0	0
0.40761617	0.08353553	0.62447709	0.18773615	82.53099823	93	51	34	8	1	0	0	0.08353553	0	0	0	0	0	0
0.40767405	0.08353553	0.62447709	0.18773615	82.53099823	93	51	34	8	1	0	0	0.08353553	0	0	0	0	0	0
0.40773194	0.08353553	0.62447709	0.18773615	82.53099823	93	51	34	8	1	0	0	0.08353553	0	0	0	0	0	0
0.40778979	0.0839675	0.61018485	0.18803638	82.44895935	92	53	32	7	1	0	0	0.0839675	0	0	0	0	0	0
0.40784768	0.0839675	0.61018485	0.18803638	82.44895935	92	53	32	7	1	0	0	0.0839675	0	0	0	0	0	0
0.40790556	0.0839675	0.61018485	0.18803638	82.44895935	92	53	32	7	1	0	0	0.0839675	0	0	0	0	0	0
0.40796307	0.0839675	0.61018485	0.18803638	82.44895935	92	53	32	7	1	0	0	0.0839675	0	0	0	0	0	0
0.4080213	0.0839675	0.61018485	0.18803638	82.44895935	92	53	32	7	1	0	0	0.0839675	0	0	0	0	0	0
0.40807917	0.0839675	0.61018485	0.18803638	82.44895935	92	53	32	7	1	0	0	0.0839675	0	0	0	0	0	0
0.40813706	0.0839675	0.61018485	0.18803638	82.44895935	92	53	32	7	1	0	0	0.0839675	0	0	0	0	0	0
0.40819494	0.0839675	0.61018485	0.18803638	82.44895935	92	53	32	7	1	0	0	0.0839675	0	0	0	0	0	0
